Master Index,before_after,date_diff,flight_length,label,hierarchy,fold,class,target_class,hclass,number_flights_before
235,1,-2,4667.0,intake gasket leak/damage,,0,10,10,0,2
237,1,-1,4216.0,intake gasket leak/damage,,0,10,10,0,4
238,1,-2,4648.0,intake gasket leak/damage,,0,10,10,0,2
247,1,-1,3313.0,intake gasket leak/damage,,0,10,10,0,0
248,0,1,6346.0,intake gasket leak/damage,,0,10,0,0,-1
250,1,-2,4926.0,intake gasket leak/damage,,0,10,10,0,3
251,0,1,4356.0,intake gasket leak/damage,,0,10,0,0,-1
254,1,-1,5243.0,intake gasket leak/damage,,0,10,10,0,0
256,1,-1,4698.0,intake gasket leak/damage,,0,10,10,0,2
261,0,1,4621.0,intake gasket leak/damage,,0,10,0,0,-1
265,1,-1,6254.0,intake gasket leak/damage,,0,10,10,0,2
267,0,1,9120.0,intake gasket leak/damage,,0,10,0,0,-1
274,0,1,4592.0,intake gasket leak/damage,,0,10,0,0,-1
277,1,-1,4869.0,intake gasket leak/damage,,0,10,10,0,1
278,0,1,2752.0,intake gasket leak/damage,,0,10,0,0,-1
281,0,2,5228.0,intake gasket leak/damage,,0,10,0,0,-1
282,1,-1,3111.0,intake gasket leak/damage,,0,10,10,0,0
283,0,1,4385.0,intake gasket leak/damage,,0,10,0,0,-1
284,1,-2,4651.0,intake gasket leak/damage,,0,10,10,0,0
285,1,-1,13073.0,intake gasket leak/damage,,0,10,10,0,0
287,0,1,5834.0,intake gasket leak/damage,,0,10,0,0,-1
288,0,1,4728.0,intake gasket leak/damage,,0,10,0,0,-1
296,0,1,5196.0,intake gasket leak/damage,,0,10,0,0,-1
297,0,1,5255.0,intake gasket leak/damage,,0,10,0,0,-1
302,0,1,5178.0,intake gasket leak/damage,,0,10,0,0,-1
304,0,1,5130.0,intake gasket leak/damage,,0,10,0,0,-1
314,0,2,1302.0,intake gasket leak/damage,,0,10,0,0,-1
318,0,1,3548.0,intake gasket leak/damage,,0,10,0,0,-1
325,0,2,1926.0,intake gasket leak/damage,,0,10,0,0,-1
333,0,1,2860.0,intake gasket leak/damage,,0,10,0,0,-1
335,0,1,4944.0,intake gasket leak/damage,,0,10,0,0,-1
339,0,1,11144.0,intake gasket leak/damage,,0,10,0,0,-1
342,1,-1,5306.0,intake gasket leak/damage,,0,10,10,0,2
347,0,1,4356.0,intake gasket leak/damage,,0,10,0,0,-1
349,0,2,5578.0,intake gasket leak/damage,,0,10,0,0,-1
351,0,1,5734.0,intake gasket leak/damage,,0,10,0,0,-1
362,0,1,5382.0,intake gasket leak/damage,,0,10,0,0,-1
364,0,1,5407.0,intake gasket leak/damage,,0,10,0,0,-1
367,0,1,7531.0,intake gasket leak/damage,,0,10,0,0,-1
369,0,2,4830.0,intake gasket leak/damage,,0,10,0,0,-1
371,1,-1,5674.0,intake gasket leak/damage,,0,10,10,0,0
372,0,1,6000.0,intake gasket leak/damage,,0,10,0,0,-1
374,1,-2,10347.0,intake gasket leak/damage,,0,10,10,0,2
376,1,-2,683.0,intake gasket leak/damage,,0,10,10,0,4
377,1,-1,6059.0,intake gasket leak/damage,,0,10,10,0,3
379,0,1,4808.0,intake gasket leak/damage,,0,10,0,0,-1
382,1,-2,6924.0,intake gasket leak/damage,,0,10,10,0,3
383,1,-1,1538.0,intake gasket leak/damage,,0,10,10,0,1
384,0,1,6823.0,intake gasket leak/damage,,0,10,0,0,-1
385,0,2,2659.0,intake gasket leak/damage,,0,10,0,0,-1
387,1,-1,6457.0,intake gasket leak/damage,,0,10,10,0,3
388,0,1,3764.0,intake gasket leak/damage,,0,10,0,0,-1
393,1,-1,3265.0,intake gasket leak/damage,,0,10,10,0,0
394,0,1,1443.0,intake gasket leak/damage,,0,10,0,0,-1
396,1,-1,1597.0,intake gasket leak/damage,,0,10,10,0,0
397,1,-1,6411.0,intake gasket leak/damage,,0,10,10,0,2
402,0,1,5869.0,intake gasket leak/damage,,0,10,0,0,-1
405,0,1,3964.0,intake gasket leak/damage,,0,10,0,0,-1
407,1,-2,5987.0,intake gasket leak/damage,,0,10,10,0,2
408,0,1,9385.0,intake gasket leak/damage,,0,10,0,0,-1
410,1,-1,7474.0,intake gasket leak/damage,,0,10,10,0,2
411,0,2,14765.0,intake gasket leak/damage,,0,10,0,0,-1
413,1,-1,3407.0,intake gasket leak/damage,,0,10,10,0,1
426,0,1,4978.0,intake gasket leak/damage,,0,10,0,0,-1
429,0,1,6051.0,intake gasket leak/damage,,0,10,0,0,-1
430,1,-2,1975.0,intake gasket leak/damage,,0,10,10,0,0
431,1,-1,2003.0,intake gasket leak/damage,,0,10,10,0,0
432,0,2,5281.0,intake gasket leak/damage,,0,10,0,0,-1
433,1,-1,6572.0,intake gasket leak/damage,,0,10,10,0,1
437,0,1,4894.0,intake gasket leak/damage,,0,10,0,0,-1
441,0,2,6051.0,intake gasket leak/damage,,0,10,0,0,-1
445,0,1,6936.0,intake gasket leak/damage,,0,10,0,0,-1
450,0,1,4337.0,intake gasket leak/damage,,0,10,0,0,-1
454,1,-1,1648.0,intake gasket leak/damage,,0,10,10,0,3
462,0,1,3655.0,intake gasket leak/damage,,0,10,0,0,-1
467,1,-1,4589.0,intake gasket leak/damage,,0,10,10,0,1
469,0,2,5398.0,intake gasket leak/damage,,0,10,0,0,-1
476,1,-2,6501.0,intake gasket leak/damage,,0,10,10,0,3
477,0,1,5772.0,intake gasket leak/damage,,0,10,0,0,-1
478,1,-2,4450.0,intake gasket leak/damage,,0,10,10,0,1
479,0,1,6796.0,intake gasket leak/damage,,0,10,0,0,-1
482,1,-2,5185.0,intake gasket leak/damage,,0,10,10,0,4
485,1,-1,5415.0,intake gasket leak/damage,,0,10,10,0,1
487,0,1,3995.0,intake gasket leak/damage,,0,10,0,0,-1
489,1,-1,4637.0,intake gasket leak/damage,,0,10,10,0,3
496,1,-1,5477.0,intake gasket leak/damage,,0,10,10,0,1
503,1,-1,4775.0,intake gasket leak/damage,,0,10,10,0,2
504,0,1,4007.0,intake gasket leak/damage,,0,10,0,0,-1
507,1,-1,6894.0,intake gasket leak/damage,,0,10,10,0,1
513,1,-2,5210.0,intake gasket leak/damage,,0,10,10,0,2
522,1,-2,7198.0,intake gasket leak/damage,,0,10,10,0,2
524,0,2,5955.0,intake gasket leak/damage,,0,10,0,0,-1
528,0,1,6161.0,intake gasket leak/damage,,0,10,0,0,-1
530,0,1,6643.0,intake gasket leak/damage,,0,10,0,0,-1
533,1,-1,4185.0,intake gasket leak/damage,,0,10,10,0,4
538,0,2,1539.0,intake gasket leak/damage,,0,10,0,0,-1
539,0,1,3964.0,intake gasket leak/damage,,0,10,0,0,-1
541,0,1,5539.0,intake gasket leak/damage,,0,10,0,0,-1
548,1,-1,7702.0,intake gasket leak/damage,,0,10,10,0,0
549,1,-1,5783.0,intake gasket leak/damage,,0,10,10,0,2
557,1,-2,4356.0,intake gasket leak/damage,,0,10,10,0,3
558,1,-1,1213.0,intake gasket leak/damage,,0,10,10,0,0
560,1,-1,4169.0,intake gasket leak/damage,,0,10,10,0,0
562,0,1,6143.0,intake gasket leak/damage,,0,10,0,0,-1
564,0,1,6996.0,intake gasket leak/damage,,0,10,0,0,-1
567,1,-1,5473.0,intake gasket leak/damage,,0,10,10,0,0
570,0,1,5041.0,intake gasket leak/damage,,0,10,0,0,-1
572,1,-1,6713.0,intake gasket leak/damage,,0,10,10,0,3
574,0,1,2687.0,intake gasket leak/damage,,0,10,0,0,-1
575,1,-1,4807.0,intake gasket leak/damage,,0,10,10,0,2
576,0,1,9736.0,intake gasket leak/damage,,0,10,0,0,-1
578,0,2,4382.0,intake gasket leak/damage,,0,10,0,0,-1
579,1,-1,1679.0,intake gasket leak/damage,,0,10,10,0,0
582,1,-1,6239.0,intake gasket leak/damage,,0,10,10,0,4
585,0,1,6545.0,intake gasket leak/damage,,0,10,0,0,-1
589,0,2,4667.0,intake gasket leak/damage,,0,10,0,0,-1
593,1,-1,5166.0,intake gasket leak/damage,,0,10,10,0,3
604,0,2,3775.0,intake gasket leak/damage,,0,10,0,0,-1
605,1,-1,2272.0,intake gasket leak/damage,,0,10,10,0,0
610,0,2,7741.0,intake gasket leak/damage,,0,10,0,0,-1
614,1,-1,5725.0,intake gasket leak/damage,,0,10,10,0,3
615,0,1,5129.0,intake gasket leak/damage,,0,10,0,0,-1
617,1,-2,5136.0,intake gasket leak/damage,,0,10,10,0,1
622,1,-2,3298.0,intake gasket leak/damage,,0,10,10,0,2
623,0,1,6705.0,intake gasket leak/damage,,0,10,0,0,-1
630,1,-2,7479.0,intake gasket leak/damage,,0,10,10,0,3
631,0,1,5663.0,intake gasket leak/damage,,0,10,0,0,-1
634,0,2,4933.0,intake gasket leak/damage,,0,10,0,0,-1
640,1,-1,7157.0,intake gasket leak/damage,,0,10,10,0,3
644,0,1,5632.0,intake gasket leak/damage,,0,10,0,0,-1
647,0,2,5368.0,intake gasket leak/damage,,0,10,0,0,-1
648,1,-1,5717.0,intake gasket leak/damage,,0,10,10,0,0
649,0,2,4305.0,intake gasket leak/damage,,0,10,0,0,-1
653,0,1,5285.0,intake gasket leak/damage,,0,10,0,0,-1
656,0,1,6563.0,intake gasket leak/damage,,0,10,0,0,-1
660,0,1,2270.0,intake gasket leak/damage,,0,10,0,0,-1
663,1,-1,5173.0,intake gasket leak/damage,,0,10,10,0,3
667,0,2,2143.0,intake gasket leak/damage,,0,10,0,0,-1
671,0,1,9695.0,intake gasket leak/damage,,0,10,0,0,-1
673,1,-1,4559.0,intake gasket leak/damage,,0,10,10,0,1
674,1,-1,5503.0,intake gasket leak/damage,,0,10,10,0,1
678,1,-2,5144.0,intake gasket leak/damage,,0,10,10,0,0
684,0,2,4232.0,intake gasket leak/damage,,0,10,0,0,-1
690,0,2,7749.0,intake gasket leak/damage,,0,10,0,0,-1
693,0,1,4848.0,intake gasket leak/damage,,0,10,0,0,-1
695,0,2,808.0,intake gasket leak/damage,,0,10,0,0,-1
696,1,-2,6048.0,intake gasket leak/damage,,0,10,10,0,2
703,1,-2,3753.0,intake gasket leak/damage,,0,10,10,0,3
704,0,1,5190.0,intake gasket leak/damage,,0,10,0,0,-1
706,0,1,1739.0,intake gasket leak/damage,,0,10,0,0,-1
709,0,1,3545.0,intake gasket leak/damage,,0,10,0,0,-1
710,0,1,4557.0,intake gasket leak/damage,,0,10,0,0,-1
711,0,2,4650.0,intake gasket leak/damage,,0,10,0,0,-1
714,0,2,4745.0,intake gasket leak/damage,,0,10,0,0,-1
715,0,1,5051.0,intake gasket leak/damage,,0,10,0,0,-1
716,0,1,2876.0,intake gasket leak/damage,,0,10,0,0,-1
719,0,1,6177.0,intake gasket leak/damage,,0,10,0,0,-1
720,0,1,6929.0,intake gasket leak/damage,,0,10,0,0,-1
722,0,1,5348.0,intake gasket leak/damage,,0,10,0,0,-1
723,0,1,8593.0,intake gasket leak/damage,,0,10,0,0,-1
733,0,1,6181.0,intake gasket leak/damage,,0,10,0,0,-1
736,1,-2,6728.0,intake gasket leak/damage,,0,10,10,0,3
742,1,-1,5660.0,intake gasket leak/damage,,0,10,10,0,0
743,1,-1,4527.0,intake gasket leak/damage,,0,10,10,0,0
750,0,1,5518.0,intake gasket leak/damage,,0,10,0,0,-1
751,0,1,4414.0,intake gasket leak/damage,,0,10,0,0,-1
755,0,1,5260.0,intake gasket leak/damage,,0,10,0,0,-1
758,1,-1,4092.0,intake gasket leak/damage,,0,10,10,0,1
759,0,2,637.0,intake gasket leak/damage,,0,10,0,0,-1
761,0,1,9726.0,intake gasket leak/damage,,0,10,0,0,-1
764,1,-1,5643.0,intake gasket leak/damage,,0,10,10,0,1
770,0,1,12849.0,intake gasket leak/damage,,0,10,0,0,-1
771,0,1,9487.0,intake gasket leak/damage,,0,10,0,0,-1
775,1,-2,4730.0,intake gasket leak/damage,,0,10,10,0,3
776,0,1,5181.0,intake gasket leak/damage,,0,10,0,0,-1
780,0,1,4885.0,intake gasket leak/damage,,0,10,0,0,-1
781,1,-1,10424.0,intake gasket leak/damage,,0,10,10,0,0
782,1,-2,2395.0,intake gasket leak/damage,,0,10,10,0,2
783,0,1,7187.0,intake gasket leak/damage,,0,10,0,0,-1
792,1,-2,3749.0,intake gasket leak/damage,,0,10,10,0,0
793,1,-1,5423.0,intake gasket leak/damage,,0,10,10,0,1
803,0,1,2956.0,intake gasket leak/damage,,0,10,0,0,-1
804,0,2,6192.0,intake gasket leak/damage,,0,10,0,0,-1
807,0,1,8897.0,intake gasket leak/damage,,0,10,0,0,-1
808,0,1,5177.0,intake gasket leak/damage,,0,10,0,0,-1
814,0,1,5866.0,intake gasket leak/damage,,0,10,0,0,-1
817,1,-2,2239.0,intake gasket leak/damage,,0,10,10,0,1
823,0,1,8871.0,intake gasket leak/damage,,0,10,0,0,-1
824,0,1,4930.0,intake gasket leak/damage,,0,10,0,0,-1
826,0,1,6364.0,intake gasket leak/damage,,0,10,0,0,-1
829,1,-1,6052.0,intake gasket leak/damage,,0,10,10,0,1
831,1,-1,7203.0,intake gasket leak/damage,,0,10,10,0,0
833,0,1,6060.0,intake gasket leak/damage,,0,10,0,0,-1
834,0,1,4698.0,intake gasket leak/damage,,0,10,0,0,-1
835,1,-1,5461.0,intake gasket leak/damage,,0,10,10,0,3
837,0,1,1446.0,intake gasket leak/damage,,0,10,0,0,-1
839,0,2,9864.0,intake gasket leak/damage,,0,10,0,0,-1
840,0,2,4586.0,intake gasket leak/damage,,0,10,0,0,-1
843,0,1,7678.0,intake gasket leak/damage,,0,10,0,0,-1
845,1,-1,4325.0,intake gasket leak/damage,,0,10,10,0,4
846,0,1,5945.0,intake gasket leak/damage,,0,10,0,0,-1
847,0,2,6406.0,intake gasket leak/damage,,0,10,0,0,-1
848,1,-1,5615.0,intake gasket leak/damage,,0,10,10,0,2
849,0,1,6386.0,intake gasket leak/damage,,0,10,0,0,-1
851,0,1,6311.0,intake gasket leak/damage,,0,10,0,0,-1
855,0,2,8020.0,intake gasket leak/damage,,0,10,0,0,-1
860,1,-1,5333.0,intake gasket leak/damage,,0,10,10,0,4
861,0,1,5803.0,intake gasket leak/damage,,0,10,0,0,-1
863,0,1,5278.0,intake gasket leak/damage,,0,10,0,0,-1
864,0,2,6706.0,intake gasket leak/damage,,0,10,0,0,-1
867,1,-1,12182.0,intake gasket leak/damage,,0,10,10,0,2
873,0,1,4210.0,intake gasket leak/damage,,0,10,0,0,-1
875,1,-1,4935.0,intake gasket leak/damage,,0,10,10,0,2
878,0,2,3419.0,intake gasket leak/damage,,0,10,0,0,-1
895,1,-2,5026.0,intake gasket leak/damage,,0,10,10,0,1
901,1,-1,7909.0,intake gasket leak/damage,,0,10,10,0,2
903,1,-1,5873.0,intake gasket leak/damage,,0,10,10,0,0
909,1,-1,6239.0,intake gasket leak/damage,,0,10,10,0,1
911,0,1,5656.0,intake gasket leak/damage,,0,10,0,0,-1
912,0,1,3485.0,intake gasket leak/damage,,0,10,0,0,-1
916,1,-2,1679.0,intake gasket leak/damage,,0,10,10,0,0
917,1,-1,4527.0,intake gasket leak/damage,,0,10,10,0,1
921,0,1,2364.0,intake gasket leak/damage,,0,10,0,0,-1
926,0,1,4585.0,intake gasket leak/damage,,0,10,0,0,-1
927,1,-1,4617.0,intake gasket leak/damage,,0,10,10,0,2
928,0,1,3194.0,intake gasket leak/damage,,0,10,0,0,-1
929,0,1,8492.0,intake gasket leak/damage,,0,10,0,0,-1
930,1,-1,4729.0,intake gasket leak/damage,,0,10,10,0,3
933,0,2,3995.0,intake gasket leak/damage,,0,10,0,0,-1
934,1,-2,8004.0,intake gasket leak/damage,,0,10,10,0,1
940,0,1,3342.0,intake gasket leak/damage,,0,10,0,0,-1
941,0,1,3236.0,intake gasket leak/damage,,0,10,0,0,-1
944,0,1,5741.0,intake gasket leak/damage,,0,10,0,0,-1
945,0,1,4759.0,intake gasket leak/damage,,0,10,0,0,-1
949,1,-1,5430.0,intake gasket leak/damage,,0,10,10,0,0
961,1,-2,6536.0,intake gasket leak/damage,,0,10,10,0,4
965,1,-2,5586.0,intake gasket leak/damage,,0,10,10,0,3
968,1,-2,7408.0,intake gasket leak/damage,,0,10,10,0,3
969,0,1,7281.0,intake gasket leak/damage,,0,10,0,0,-1
974,1,-1,4885.0,intake gasket leak/damage,,0,10,10,0,0
976,0,2,5767.0,intake gasket leak/damage,,0,10,0,0,-1
981,0,1,2799.0,intake gasket leak/damage,,0,10,0,0,-1
985,0,1,4125.0,intake gasket leak/damage,,0,10,0,0,-1
987,1,-1,6792.0,intake gasket leak/damage,,0,10,10,0,1
988,0,1,7135.0,intake gasket leak/damage,,0,10,0,0,-1
995,0,1,3484.0,intake gasket leak/damage,,0,10,0,0,-1
996,0,1,4136.0,intake gasket leak/damage,,0,10,0,0,-1
1004,1,-1,5456.0,intake gasket leak/damage,,0,10,10,0,1
1006,1,-2,4802.0,intake gasket leak/damage,,0,10,10,0,3
1012,1,-1,4556.0,intake gasket leak/damage,,0,10,10,0,0
1015,0,1,5179.0,intake gasket leak/damage,,0,10,0,0,-1
1019,0,1,5383.0,intake gasket leak/damage,,0,10,0,0,-1
1020,0,1,8262.0,intake gasket leak/damage,,0,10,0,0,-1
1030,1,-1,4834.0,intake gasket leak/damage,,0,10,10,0,4
1032,1,-1,4042.0,intake gasket leak/damage,,0,10,10,0,3
1033,1,-1,7857.0,intake gasket leak/damage,,0,10,10,0,0
1039,0,1,6704.0,intake gasket leak/damage,,0,10,0,0,-1
1042,1,-1,3500.0,intake gasket leak/damage,,0,10,10,0,4
1050,0,1,2006.0,intake gasket leak/damage,,0,10,0,0,-1
1051,0,2,5376.0,intake gasket leak/damage,,0,10,0,0,-1
1056,1,-1,4449.0,intake gasket leak/damage,,0,10,10,0,3
1058,0,1,2473.0,intake gasket leak/damage,,0,10,0,0,-1
1062,0,1,4215.0,intake gasket leak/damage,,0,10,0,0,-1
1064,1,-2,6637.0,intake gasket leak/damage,,0,10,10,0,1
1073,0,1,5150.0,intake gasket leak/damage,,0,10,0,0,-1
1077,1,-1,5787.0,intake gasket leak/damage,,0,10,10,0,3
1078,1,-1,6535.0,intake gasket leak/damage,,0,10,10,0,0
1082,1,-1,6161.0,intake gasket leak/damage,,0,10,10,0,0
1083,1,-2,4204.0,intake gasket leak/damage,,0,10,10,0,1
1085,0,2,6239.0,intake gasket leak/damage,,0,10,0,0,-1
1086,0,1,4741.0,intake gasket leak/damage,,0,10,0,0,-1
1096,1,-1,2905.0,intake gasket leak/damage,,0,10,10,0,2
1097,1,-1,3949.0,intake gasket leak/damage,,0,10,10,0,4
1098,1,-2,9723.0,intake gasket leak/damage,,0,10,10,0,4
1099,1,-2,7942.0,intake gasket leak/damage,,0,10,10,0,2
1106,1,-1,4275.0,intake gasket leak/damage,,0,10,10,0,0
1110,0,1,4605.0,intake gasket leak/damage,,0,10,0,0,-1
1111,0,1,5814.0,intake gasket leak/damage,,0,10,0,0,-1
1112,1,-1,5407.0,intake gasket leak/damage,,0,10,10,0,0
1114,0,2,4354.0,intake gasket leak/damage,,0,10,0,0,-1
1115,0,1,3950.0,intake gasket leak/damage,,0,10,0,0,-1
1118,1,-2,4403.0,intake gasket leak/damage,,0,10,10,0,1
1120,0,1,4185.0,intake gasket leak/damage,,0,10,0,0,-1
1125,1,-1,5647.0,intake gasket leak/damage,,0,10,10,0,3
1126,1,-1,4279.0,intake gasket leak/damage,,0,10,10,0,0
1128,0,1,5190.0,intake gasket leak/damage,,0,10,0,0,-1
1129,1,-2,2967.0,intake gasket leak/damage,,0,10,10,0,3
1137,1,-1,5461.0,intake gasket leak/damage,,0,10,10,0,0
1143,0,1,1990.0,intake gasket leak/damage,,0,10,0,0,-1
1150,0,1,3996.0,intake gasket leak/damage,,0,10,0,0,-1
1153,0,1,4044.0,intake gasket leak/damage,,0,10,0,0,-1
1155,0,2,3640.0,intake gasket leak/damage,,0,10,0,0,-1
1156,1,-1,6333.0,intake gasket leak/damage,,0,10,10,0,1
1157,1,-1,5197.0,intake gasket leak/damage,,0,10,10,0,1
1160,0,1,3266.0,intake gasket leak/damage,,0,10,0,0,-1
1164,0,1,5412.0,intake gasket leak/damage,,0,10,0,0,-1
1165,0,1,6542.0,intake gasket leak/damage,,0,10,0,0,-1
1166,1,-1,6526.0,intake gasket leak/damage,,0,10,10,0,0
1168,1,-2,10304.0,intake gasket leak/damage,,0,10,10,0,4
1169,1,-2,5399.0,intake gasket leak/damage,,0,10,10,0,4
1178,1,-1,6404.0,intake gasket leak/damage,,0,10,10,0,0
1179,0,1,3388.0,intake gasket leak/damage,,0,10,0,0,-1
1182,1,-1,6685.0,intake gasket leak/damage,,0,10,10,0,2
1187,1,-1,7203.0,intake gasket leak/damage,,0,10,10,0,0
1188,0,1,5335.0,intake gasket leak/damage,,0,10,0,0,-1
1192,0,2,7515.0,intake gasket leak/damage,,0,10,0,0,-1
1195,1,-1,7111.0,intake gasket leak/damage,,0,10,10,0,1
1196,1,-1,5501.0,intake gasket leak/damage,,0,10,10,0,4
1197,0,1,10907.0,intake gasket leak/damage,,0,10,0,0,-1
1198,1,-1,4745.0,intake gasket leak/damage,,0,10,10,0,3
1200,0,1,4828.0,intake gasket leak/damage,,0,10,0,0,-1
1201,1,-1,4589.0,intake gasket leak/damage,,0,10,10,0,2
1205,0,1,4554.0,intake gasket leak/damage,,0,10,0,0,-1
1209,1,-2,5304.0,intake gasket leak/damage,,0,10,10,0,4
1212,1,-2,4231.0,intake gasket leak/damage,,0,10,10,0,3
1213,1,-1,5255.0,intake gasket leak/damage,,0,10,10,0,0
1214,1,-2,5517.0,intake gasket leak/damage,,0,10,10,0,1
1218,0,1,8169.0,intake gasket leak/damage,,0,10,0,0,-1
1228,0,1,5631.0,intake gasket leak/damage,,0,10,0,0,-1
1234,0,1,4862.0,intake gasket leak/damage,,0,10,0,0,-1
1236,1,-2,4880.0,intake gasket leak/damage,,0,10,10,0,1
1241,0,1,5726.0,intake gasket leak/damage,,0,10,0,0,-1
1242,1,-1,4979.0,intake gasket leak/damage,,0,10,10,0,2
1248,0,1,5336.0,intake gasket leak/damage,,0,10,0,0,-1
1254,1,-1,5068.0,intake gasket leak/damage,,0,10,10,0,1
1255,1,-2,2641.0,intake gasket leak/damage,,0,10,10,0,2
1256,0,2,6006.0,intake gasket leak/damage,,0,10,0,0,-1
1261,0,2,10519.0,intake gasket leak/damage,,0,10,0,0,-1
1275,0,1,10473.0,intake gasket leak/damage,,0,10,0,0,-1
1277,0,2,3672.0,intake gasket leak/damage,,0,10,0,0,-1
1281,0,1,5591.0,intake gasket leak/damage,,0,10,0,0,-1
1282,0,1,6099.0,intake gasket leak/damage,,0,10,0,0,-1
1284,0,1,4793.0,intake gasket leak/damage,,0,10,0,0,-1
1286,1,-1,3139.0,intake gasket leak/damage,,0,10,10,0,0
1287,1,-1,4050.0,intake gasket leak/damage,,0,10,10,0,1
1288,0,1,5617.0,intake gasket leak/damage,,0,10,0,0,-1
1290,0,1,2716.0,intake gasket leak/damage,,0,10,0,0,-1
1292,0,1,5849.0,intake gasket leak/damage,,0,10,0,0,-1
1295,0,1,5802.0,intake gasket leak/damage,,0,10,0,0,-1
1300,0,1,2738.0,intake gasket leak/damage,,0,10,0,0,-1
1302,1,-1,4214.0,intake gasket leak/damage,,0,10,10,0,1
1305,1,-2,9898.0,intake gasket leak/damage,,0,10,10,0,3
1310,1,-2,5740.0,intake gasket leak/damage,,0,10,10,0,3
1313,0,1,621.0,intake gasket leak/damage,,0,10,0,0,-1
